"","GoodID","COO","Rating","No_of_reviews","RecentSoldnum","Price","Variety","Reserve","Protected_indicator_of_origin","Alcohol_Content","Body","RatingNo_of_reviews"
"485","5196302","西班牙(Spain)",1,1,26,799,"tempranillo",0,1,14,"中高",1
"486","5196303","西班牙(Spain)",1,0,9,999,"tempranillo",1,1,14,"中高",0
"487","5196401","意大利(Italy)",0.9,381,9647,65,"malvasia",0,1,7,"轻",342.9
"488","5196480","意大利(Italy)",0.9,2,2664,288,"sangiovese",0,1,12.5,"中",1.8
"489","5196571","意大利(Italy)",0.8,3,119,298,"sangiovese",1,1,14,"中高",2.4
"493","5196637","美国(USA)",0.8,1,24,420,"chardonnay",1,1,13.5,"中低",0.8
"497","5196672","新西兰(New",0.9,104,3048,640,"sauvignon",0,1,13,"中低",93.6
"500","5196872","西班牙(Spain)",0.8,402,37148,38,"tempranillo",0,1,12,"中",321.6
"511","5197468","德国(Germany)",1,3,23,318,"riesling",1,1,11,"中低",3
"519","5198124","智利(Chile)",1,3,29,257,"sauvignon",1,1,13,"中低",3
"520","5198125","智利(Chile)",0.9,7,45,257,"cabernet",1,1,14,"中",6.3
"521","5198128","智利(Chile)",1,0,10,189,"chardonnay",1,1,13.5,"中",0
"524","5198137","智利(Chile)",1,4,31,128,"cabernet",0,1,13.5,"中",4
"535","5199463","智利(Chile)",0.9,15,363,119,"syrah",0,0,13.5,"中低",13.5
"545","5200084","意大利(Italy)",0.9,310,11571,88,"malvasia",0,1,7,"重",279
"553","5200157","法国(France)",0.8,114,3685,55,"merlot",1,1,13,"中",91.2
"554","5200158","法国(France)",0.9,43,3383,55,"cabernet",1,1,13,"中",38.7
"555","5200159","法国(France)",0.9,46,1551,55,"syrah",1,1,12,"中",41.4
"564","5201037","希腊(Greece)",0.9,10,65,288,"syrah",1,1,12.5,"中",9
"565","5201097","智利(Chile)",0.9,15,398,399,"carmenere",0,1,14,"中高",13.5
"609","6202096","德国(Germany)",1,202,3853,120,"riesling",1,1,10,"中",202
"610","6202307","法国(France)",1,0,26,1588,"pinot",1,1,13.5,"中",0
"611","6202309","法国(France)",1,0,27,1588,"pinot",1,1,13.5,"中高",0
"613","6202327","德国(Germany)",0.9,16,314,128,"regent",1,1,8.5,"中",14.4
