"","Soldnum","Price","Alcohol_Content","Reserve","COO","Variety","Body","Protected_indicator_of_origin","Rating","No_of_reviews"
"91","50","290","12.5","0000","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","60%歌海娜(Grenache)30%佳丽酿(Carignan)10%慕合怀特(Mourvedre)","中高","科比埃AOC Corbières","90","400"
"92","0","359","14","0000","智利(Chile) 中央山谷(Central Valley)","100%梅洛(Merlot)","中高","智利优质酒庄","90","29"
"93","0","128","13","0000","法国(France) 波尔多(Bordeaux)","梅洛(Merlot)、品丽珠(Cabernet Franc)、赤霞珠(Cabernet Sauvignon）","中","波尔多法定产区 A.O.C","90","56"
"94","0","158","10.5","0000","德国(Germany) 莫塞(Mosel)","100%雷司令(Riesling)","中","QBA","90","16"
"95","0","388","14.5","2009","南非(South Africa) 沿海地区(Coastal Region)","64%赤霞珠(Cabernet Sauvignon)，18%品丽珠(Cabernet Franc)，18%梅洛(Merlot)","重","  ","80","16"
"96","0","85","8","0000","智利(Chile) 中央山谷(Central Valley)","莎当妮(Chardonnay)、长相思(Sauvignon Blanc)、草莓汁(Strawberry juice)","轻","智利优质酒庄","80","61"
"97","54","119","13.5","0000","法国(France) 波尔多(Bordeaux)","100%梅洛(Merlot)","中高","超级波尔多法定产区 A.O.C","80","581"
"98","0","239","13.5","0000","美国(USA) 加州(California)","100%霞多丽(Chardonnay)","中低","美国优质酒庄","100","1"
"99","0","153.4","13.5","2011","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","55%歌海娜(Grenache),45%西拉(Syrah)","中低","法国朗格多克地区餐酒V.D.P","80","13"
"100","0","119","14","2007","西班牙(Spain) 卡斯蒂利亚和雷昂(Castilla y Leon)","100%门西亚(Mencia)","中高","西班牙法定产区DO","80","50"
"101","0","309","13.5","0000","智利(Chile) 中央山谷(Central Valley)","70%梅洛(Merlot)  30%赤霞珠","中","智利优质酒庄","100","36"
"102","4","278","13.5","0000","智利(Chile) 中央山谷(Central Valley)","100%卡本妮苏维翁(Cabernet Sauvignon)","中高","  ","90","123"
"103","0","136","13","2010","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","歌海娜、佳丽酿、慕合怀特","中高","可贝尔法定产区A.O.C","90","34"
"104","0","225","14.4","  ","澳大利亚(Australia) 南澳(South Australia)","赤霞珠(Cabernet Sauvignon)","中高","  ","100","0"
"105","0","225","14.4","  ","澳大利亚(Australia) 南澳(South Australia)","歌海娜(Grenache/Granacha)","中","  ","100","0"
"106","1","300","14.4","  ","澳大利亚(Australia) 南澳(South Australia)","西拉/设拉子(Syrah/Shiraz)、维欧尼(Viognier)","中高","  ","100","0"
"107","0","240","14.5","  ","澳大利亚(Australia) 南澳(South Australia)","西拉/设拉子(Syrah/Shiraz)、歌海娜(Grenache/Granacha)","中高","  ","100","0"
"108","0","236","14","0000","阿根廷(Argentina) 里奥内格罗(Rio Negro)","100%马尔贝克(Malbec)","中","阿根廷优质酒庄","80","274"
"109","1","120","10","2011","德国(Germany) 莱茵黑森(Rheinhessen)","100%雷司令（Riesling)","中","德国优质半甜白葡萄酒","100","221"
"110","2","120","10","0000","德国(Germany) 莱茵黑森(Rheinhessen)","100%雷司令（Riesling)","中","德国优质半甜白葡萄酒","90","266"
"111","7","469","13.5","0000","法国(France) 波尔多(Bordeaux)","100%梅洛(Merlot)","中高","超级波尔多法定产区 A.O.C","80","190"
"112","2","428","14.5","0000","智利(Chile) 中央山谷(Central Valley)","92%佳美娜(Carmenere),8%小味多(Petit Verdot)","中高","智利优质酒庄","100","126"
"113","1","638","15","2008","智利(Chile) 中央山谷(Central Valley)","100%西拉/设拉子(Syrah/Shiraz)","中高","智利优质酒庄","100","19"
"114","1","689","14.5","2009","智利(Chile) 中央山谷(Central Valley)","80%赤霞珠(Cabernet Sauvignon),10%品丽珠(Cabernet Franc),5%美乐(Merlot),5%小味多(Petit Verdot)","中高","智利优质酒庄","100","17"
"115","2","99","13","2011","智利(Chile) 中央山谷(Central Valley)","100%慕斯卡黛(Muscat)","中高","智利优质酒庄","80","2"
"116","0","279","13","0000","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","100%赤霞珠(Cabernet Sauvignon)","中高","奥克法定地区餐酒I.G.P","90","12"
"117",NA,NA,"13.1","2012","阿根廷(Argentina) 门多萨(Mendoza)","100%马尔贝克(Malbec)","中高","阿根廷优质酒庄",NA,NA
"118","0","2599","13","2010","法国(France) 波尔多(Bordeaux)","88% 梅洛（Merlot）、品丽珠（Cabernet Franc）","中高","波美侯列级名庄","90","3"
"119","61","59","7","0000","西班牙(Spain) 卡斯蒂利亚-拉曼恰(Castile-La Mancha)","丹魄(Tempranillo),莫斯卡托(Moscatel)","中低","  ","90","1039"
"120","0","88","7.5","0000","西班牙(Spain) 加利西亚(Galicia)","罗雷拉(Loureiro),特雷萨杜拉(Treixadura)","中高","西班牙优质酒庄","80","144"
"121","0","85","11","0000","西班牙(Spain) 里奥哈(Rioja)","丹魄(Tempranillo)","中高","VDM","90","73"
"122","1","85","12","0000","意大利(Italy) 威尼托(Veneto)","灰皮诺(Pinot Gris/Pinot Grigio)","中高","IGP","90","43"
"123","72","59","13","0000","智利(Chile) 中央山谷(Central Valley)","100%赤霞珠(Cabernet Sauvignon)","中高","智利优质酒庄","90","721"
"124","5","88","7.5","0000","意大利(Italy) 皮埃蒙特(Piemonte)","100%麝香(Muscat/Moscato)","轻","DOCG","90","70"
"125","1","158","14","2011","法国(France) 波尔多(Bordeaux)","85%梅洛(Merlot)、15%赤霞珠(Cabernet Sauvignon)","中","波尔多AOC","80","118"
"126","0","89","12.9","2011","澳大利亚(Australia) 南澳(South Australia)","100%梅洛(Merlot)","中高","  ","80","6"
"127","0","89","13.9","2009","澳大利亚(Australia) 南澳(South Australia)","100%西拉(Shiraz)","重","  ","90","5"
"128","0","89","13.5","2008","澳大利亚(Australia) 南澳(South Australia)","100%赤霞珠(Cabernet Sauvignon)","重","  ","90","8"
"129","0","138","15","0000","希腊(Greece) 佩特雷(Patras)","100%麝香(Muscat/Moscato)","中低","AOC","100","16"
"130","0","79","13","2011","阿根廷(Argentina) 门多萨(Mendoza)","霞多丽(Chardonnay)","中低","阿根廷优质酒庄","100","13"
"131","0","79","13.5","2011","阿根廷(Argentina) 门多萨(Mendoza)","黑皮诺(Pinot Noir)","中","阿根廷优质酒庄","70","3"
"132","1","258","14.5","2010","阿根廷(Argentina) 门多萨(Mendoza)","马尔贝克(Malbec)","中高","阿根廷优质酒庄","90","15"
"133","0","168","7.5","0000","意大利(Italy) 皮埃蒙特(Piemonte)","80%玛尔维萨(malvasia), 20%慕斯卡黛(moscato)","中高","NV","90","118"
"134","0","168","7.5","0000","意大利(Italy) 皮埃蒙特(Piemonte)","80%玛尔维萨(malvasia), 20%慕斯卡黛(moscato)","中高","NV","90","102"
"135","0","120","10","2011","德国(Germany) 莱茵黑森(Rheinhessen)","100%雷司令（Riesling)","中","德国优质半甜白葡萄酒","90","165"
"136","0","398","14","2010","智利(Chile) 中央山谷(Central Valley)","100%赤霞珠( Cabernet Sauvignon)","中高","智利优质酒庄","100","31"
"137","0","159","13","0000","新西兰(New Zealand) 马尔堡(Marlborough)","长相思(Sauvignon Blanc)","中低","新西兰优质酒庄","90","55"
"138","0","199","14","0000","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)"," 歌海娜，西拉","中","格里尼昂法定产区A.O.P","100","16"
"139","1","325","13","0000","智利(Chile) 中央山谷(Central Valley)","100%白苏维翁(Sauvignon Blanc)","中低","智利优质酒庄","80","61"
"140","0","59","12.5","2011","法国(France) 波尔多(Bordeaux)","80%美乐(Merlot), 20%赤霞珠(Cabernet Sauvignon)","中高","波尔多法定产区A.O.C","100","300"
"141","0","99","14","2010","法国(France) 波尔多(Bordeaux)","70%梅乐（Merlot）、20%赤霞珠（Cabernet Sauvignon）、10%品丽珠（cabernet franc）","中高","波尔多AOC","40","1"
"142","0","158","13","2009","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","歌海娜35%，佳丽酿45%、西拉20%","中高","科比埃AOC Corbières","80","26"
"143","1","69","11.5","  ","西班牙(Spain) 佩内德斯(Penedes)","25% 麝香(Muscat)、25 %玛卡布(Macabeu)、25 %沙雷洛(Xarel-lo)、25 %帕雷亚达(Parellada)","中高","NV","90","31"
"144","8","69","11.5","  ","西班牙(Spain) 佩内德斯(Penedes)","25% 麝香(Muscat)、25 %玛卡布(Macabeu)、25 %沙雷洛(Xarel-lo)、25 %帕雷亚达(Parellada)","中高","NV","90","18"
"145","2","58","13","2012","智利(Chile) 其他","100%赤霞珠(Cabernet Sauvignon)","中高","智利优质酒庄","100","0"
"146","0","59","12.5","0000","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","40%歌海娜(Grenache)、20%希拉(Syrah)、20%佳丽酿(Carignan)、10%慕和怀特(Mourvedre)","中","科比埃AOC Corbières","80","237"
"147","1","145",NA,"  ","美国(USA) 加州(California)","赤霞珠(Cabernet Sauvignon),白仙芬岱(White Zinfandel),霞多丽(Chardonnay)","  ","  ","90","53"
"148","18","138","11","0000","西班牙(Spain) 卡斯蒂利亚-拉曼恰(Castile-La Mancha)","100%歌海娜(Grenache)","中","餐桌酒","100","28"
"149","24","69","12.5","2011","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","25%佳丽酿(Carignan)、30%歌海娜(Grenache)、25%慕合怀特(Mourvedre)、20%希拉（Syrah）,可贝尔AOC,0.0","中","可贝尔AOC","60","2"
"150","0","399","11.5","2006","匈牙利(Hungary) 托卡伊(Tokaji)","富尔民特(Furmint),哈斯莱威路(Harslevel)","中高","匈牙利优质酒庄","100","68"
"151","-1","119","13","0000","匈牙利(Hungary) 埃格尔(Eger)","蓝色妖姬(Kékfrankos), 蓝布尔格尔(Blauburger),品丽珠(Cabernet Franc),美乐(Merlot)","中高","匈牙利优质酒庄","80","173"
"152","0","159","13","2010","美国(USA) 加州(California)","美乐(Merlot)","中","美国优质酒庄","80","12"
"153","0","168",NA,"0000","意大利(Italy) 其他","桑娇维塞(Sangiovese), 蒙特普齐亚诺(Montepulciano), 黑曼罗(Negroamaro), 美乐(Merlot)","  ","  ","80","1"
"154",NA,NA,"13","2010","法国(France) 波尔多(Bordeaux)","60%赤霞珠(Cabernet Sauvignon)35%梅洛(Merlot)4%嘉本纳弗朗(Cabernet Franc)1%小维尔多(Petit Verdot)","中高","二级城堡(2nd G C C)",NA,NA
"155","0","171","13","2012","法国(France) 波尔多(Bordeaux)","77%梅洛(Merlot)、14%品丽珠(Cabernet Franc)、9%赤霞珠(Cabernet Sauvignon)","重","圣艾美隆列级酒庄之优等名庄(St emilion GC)","80","1"
"156","161","49","12","0000","西班牙(Spain) 其他","丹魄(Tempranillo),歌海娜(Grenache/Granacha)","中高","西班牙地区餐酒","90","897"
"157","0","108","10.5","  ","德国(Germany) 莱茵黑森(Rheinhessen)","70%西万尼(Silvaner),10%米勒图高(Muller-Thurgau),20%雷司令(Riesling)","中低","德国优质酒庄","80","29"
